Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,stat_inf_class,clustering
continuar,,6,6,12,7,7,14,10,0.253241,0.268996,24837.389222,0.006533,0.005273,0.000287,0,1,73,0.030303
manda,,3,3,6,3,3,6,10,0.269275,0.28828,32384.704095,0.009015,0.016759,0.00016,0,1,77,0.3
cumpr,,1,1,2,1,1,2,12,0.183611,0.189747,883.970128,0.004501,0.000058,0.000067,0,1,67,0
reg,,2,2,4,2,2,4,11,0.224867,0.236269,10501.292146,0.001618,0.000928,0.000131,0,1,67,0
ver,,18,18,36,21,21,42,11,0.283896,0.30733,126662.87555,0.013342,0.02411,0.001143,0,1,81,0.038889
põe,,1,1,2,1,1,2,13,0.181118,0.186892,300.100796,0.002805,0.00005,0.000062,0,1,67,0
visor,,2,1,3,2,2,4,12,0.22114,0.231661,5401.653735,0.001405,0.000475,0.000115,0,1,67,0.166667
subiram,,1,1,2,1,1,2,12,0.206833,0.215627,1143.524419,0.005482,0.000038,0.000052,0,1,18,0.5
começou,,7,7,14,8,8,16,11,0.258425,0.275167,35528.875203,0.011363,0.009548,0.000337,0,1,18,0.070513
tumulto,,1,1,2,1,1,2,12,0.223161,0.233968,126.035225,0.00034,0.000511,0.00007,0,1,18,0
parte,,18,23,41,25,25,50,11,0.287205,0.311555,176386.087073,0.014345,0.024079,0.000957,0,1,26,0.021951
fazem,,8,9,17,9,9,18,11,0.240353,0.254311,49114.875486,0.01814,0.00226,0.000347,0,1,63,0.025735
empurram,,1,1,2,1,1,2,11,0.222969,0.23325,207.067634,0.000081,0.00112,0.000062,0,1,63,0
maioria,,23,20,43,28,28,56,10,0.286902,0.309963,170430.298089,0.031451,0.034149,0.001062,0,1,26,0.082692
impõe,,2,2,4,2,2,4,12,0.209114,0.218154,15654.867929,0.001631,0.000659,0.00012,0,1,14,0
cartazes,,1,1,2,1,1,2,13,0.165262,0.169668,10351.581071,0.000023,0,0.00008,0,1,14,0
empurro,,2,2,4,2,2,4,12,0.197935,0.205433,10351.581071,0,0,0.000097,0,1,14,0.333333
envolve,,1,1,2,1,1,2,11,0.246711,0.261555,10351.581071,0,0.00292,0.00007,0,1,14,0
favoráveis,,3,3,6,3,3,6,11,0.267135,0.285733,16578.793327,0.013014,0.0053,0.00015,0,1,60,0.133333
dma,,1,1,2,1,1,2,12,0.210501,0.219351,5175,0.01237,0,0.000052,0,1,10,0.5
manutenção,,1,1,2,1,1,2,11,0.266598,0.285026,5175,0,0.005286,0.000073,0,1,10,0.5
confusão,,1,1,2,1,1,2,12,0.163147,0.167371,5205.452097,0.01237,0,0.000052,0,1,8,0
estende,,1,1,2,1,1,2,11,0.194924,0.20207,5205.452097,0,0.00006,0.000073,0,1,8,0
ficam,,1,1,2,1,1,2,13,0.178958,0.184531,5200.092903,0.000168,0,0.000077,0,1,61,0
diretores,,1,1,2,1,1,2,12,0.217918,0.228008,5200.092903,0,0.000864,0.000095,0,1,61,0
conduzem,,1,1,2,1,1,2,13,0.172315,0.17765,3840.893492,0.005482,0.000007,0.000052,0,1,3,0
aão,,2,2,4,2,2,4,12,0.208156,0.217565,10362.96909,0.00019,0.001403,0.000117,0,1,3,0
emaio,,1,1,2,1,1,2,12,0.186792,0.193041,67.642157,0.00005,0.000135,0.000079,0,1,61,0
havendo,,3,3,6,3,3,6,11,0.229636,0.24139,35384.812309,0.003804,0.000952,0.000194,0,1,61,0.033333
empurra,,1,1,2,1,1,2,12,0.19792,0.205425,5275.299956,0.000034,0,0.000084,0,1,61,0
danado,,1,1,2,1,1,2,11,0.246699,0.261551,5275.299956,0,0.00292,0.0001,0,1,61,0
golpe,,72,69,141,119,119,238,10,0.319644,0.353921,712718.155643,0.110087,0.122249,0.003072,0,1,48,0.051446
ter,,44,37,81,52,52,104,11,0.297249,0.323136,339402.636306,0.060343,0.04838,0.001957,0,1,6,0.035008
Música,,3,5,8,6,6,12,11,0.270895,0.290516,19037.414634,0.010798,0.009269,0.000183,0,1,63,0.160714
faixa,,7,6,13,7,7,14,11,0.232608,0.244892,31694.827843,0.022763,0.00073,0.000256,0,1,64,0.163636
proibido,,1,1,2,1,1,2,12,0.229179,0.240283,354.536817,0.000026,0.002149,0.000065,0,1,64,0
admitido,,1,2,3,2,2,4,12,0.191974,0.199068,5188.799074,0.000026,0.000812,0.000065,0,1,64,0
gan,,1,1,2,1,1,2,11,0.216623,0.226825,1340.568261,0.000029,0.001618,0.000057,0,1,64,0
faixas,,1,1,2,1,1,2,11,0.216605,0.226799,143.257863,0.00006,0.001618,0.000062,0,1,64,0.5
natureza,,4,4,8,4,4,8,11,0.251873,0.267317,22042.07966,0.004693,0.005219,0.000203,0,1,77,0.02381
retirada,,1,1,2,1,1,2,12,0.188726,0.195126,85.697451,0.001901,0.000811,0.000067,0,1,64,0.5
abre,,3,3,6,3,3,6,12,0.222108,0.232773,1209.243391,0.004664,0.007226,0.000136,0,1,73,0.066667
silêncio,,5,5,10,5,5,10,11,0.236606,0.249655,18996.63038,0.002382,0.003495,0.000267,0,1,29,0.033333
estabelecido,,1,1,2,1,1,2,13,0.18178,0.187652,5175,0.000124,0,0.000074,0,1,29,0
prorrogar,,1,1,2,1,1,2,12,0.222136,0.232927,5175,0,0.001307,0.000092,0,1,29,0
consiga,,1,1,2,1,1,2,12,0.229169,0.240274,197.454836,0.001403,0.002149,0.000063,0,1,67,0
senhoras,,38,6,44,88,88,176,11,0.259931,0.277393,110565.121339,0.058938,0.008662,0.001673,0,1,7,0.049942
brasileiro,,36,113,149,150,150,300,10,0.331901,0.37012,679321.201479,0.052795,0.169752,0.001768,0,1,34,0.030395
chegada,,1,1,2,1,1,2,12,0.214861,0.224385,0,0.006045,0.000768,0.000042,0,1,36,0.5
aprovado,,4,3,7,4,4,8,11,0.236509,0.250067,8586.64049,0.009122,0.004343,0.000236,0,1,1,0.071429
tive,,2,2,4,2,2,4,11,0.210663,0.220124,606.565146,0.004073,0.001582,0.000093,0,1,42,0
honra,,18,15,33,18,18,36,10,0.265831,0.285437,100383.841563,0.042274,0.01749,0.000737,0,1,50,0.049395
rar,,1,1,2,1,1,2,12,0.187693,0.194132,172.283683,0.000623,0.000328,0.000071,0,1,21,0
momentos,,10,9,19,10,10,20,11,0.23102,0.243456,71300.850231,0.009215,0.000988,0.000499,0,1,21,0.013072
